SensorID,Temperature,Humidity,AirQualityIndex,WindSpeed,Precipitation,SoilMoisture,CO2Level,LastCalibration,FaultFlag
1,8.727005942,67.27029942,194.4770862,18.27156023,65.43063215,24.98351219,1397.674136,01-01-2023,1
2,37.53571532,79.66813972,51.71590863,10.50720964,8.003256977,37.33733863,984.1114402,01-01-2023,1
3,26.59969709,25.04678988,261.718369,14.49820544,24.23298115,28.13333903,1102.245487,01-01-2023,0
4,19.93292421,62.48740996,183.9348717,8.720965959,77.36793465,4.165129156,1518.432131,01-01-2023,1
5,-2.199067978,57.17459831,47.16116507,12.60069155,52.86858537,9.279011839,1789.72025,01-01-2023,1
6,-2.200273983,83.28303768,288.7014172,6.811518748,92.79690618,10.9664092,762.7719614,01-01-2023,1
7,-7.095819392,90.60870605,155.509639,6.023180396,42.87514083,12.89321268,881.5305532,01-01-2023,1
8,33.30880729,1.215677148,21.86953556,11.56459572,86.98123658,28.2701696,1882.256974,01-01-2023,0
9,20.05575059,67.40199191,188.0498713,9.962593484,44.89554375,25.19828899,1283.470047,01-01-2023,0
10,25.40362889,5.183579912,75.9596721,11.59072738,97.92482787,10.15800192,604.2350891,01-01-2023,0
11,-8.970775285,54.88586651,241.1080356,5.733211626,95.98343814,,1428.281736,01-01-2023,1
12,38.49549261,28.7632729,245.3466221,7.339156636,32.91367056,8.571610224,1984.295664,01-01-2023,0
13,31.62213204,30.67765995,293.6842068,1.677959213,88.59236704,49.21906563,1699.87106,01-01-2023,0
14,0.616955534,35.29585035,150.5608593,1.045527445,84.76113742,23.42734749,1567.759932,01-01-2023,0
15,-0.90875164,62.1292449,136.4870639,5.069142593,21.06803973,43.36727524,653.6793123,01-01-2023,1
16,-0.829774507,33.40499657,226.0426816,1.484937187,62.42904008,42.43762333,1789.437634,01-01-2023,0
,5.212112148,73.26990506,39.7411969,2.075494173,,25.57597787,1193.841034,01-01-2023,1
18,16.23782158,40.45273856,164.0746541,16.25856811,83.67107206,35.33438542,1811.793038,01-01-2023,0
19,11.59725093,6.835320031,163.87428,0.77747394,17.45458835,9.637600521,860.70731,01-01-2023,0
20,4.56145701,78.37598425,26.84193684,13.17885588,7.081470139,34.41983525,405.4867895,01-01-2023,1
21,20.59264474,28.57583246,125.3952257,5.451154976,40.02190955,13.61922896,1109.159147,01-01-2023,0
22,-3.025306967,43.27668796,255.9854396,17.43091361,57.69221386,41.60310484,758.7239282,01-01-2023,1
23,4.607232427,68.54438832,256.8460866,9.699845692,85.49169586,4.186206655,1515.889793,01-01-2023,1
24,8.318092165,33.24561571,29.77129948,6.111529187,97.42425255,38.65693364,1927.08114,,0
25,,5.658565615,27.21626482,10.35277871,,4.996845328,1474.656057,02-01-2023,1
26,29.25879807,37.3921047,78.8086431,7.639160381,6.044692299,44.05946184,,02-01-2023,1
27,-0.016310892,94.44485827,262.4298188,11.28602129,74.9115579,15.21022591,1070.140823,02-01-2023,1
28,15.71172192,64.17343973,38.67077552,2.290657367,56.51732562,32.71966824,1611.789253,02-01-2023,1
29,19.62072844,67.14791487,215.9990408,19.93981006,44.78913448,24.37511393,1733.173842,02-01-2023,0
30,-7.677479364,63.22821536,30.34968588,8.511117554,30.92688788,18.31515726,1508.488567,02-01-2023,1
31,20.3772426,19.8992139,186.9413561,6.964612794,50.23985278,32.27209166,1163.221386,02-01-2023,1
32,-1.473793816,41.83338641,106.8201897,14.20419697,33.86796045,47.37614903,1363.972386,02-01-2023,0
